Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Zhou Qi,815615.00,China,43.00,22.00,HOU,16.00,87.00,0.60,0.30,0.59,0.37,6.50,16.80,11.70,1.50,1.10,6.80,18.20,19.50,-0.40,0.10,-0.20,-0.12,-10.60,0.50,-10.10,-0.20
Zaza Pachulia,3477600.00,Georgia,42.00,33.00,GSW,66.00,937.00,16.80,0.61,0.00,0.34,11.00,25.00,18.50,15.40,1.90,1.30,19.30,17.20,1.70,1.40,3.10,0.16,-0.60,1.30,0.80,0.70
Zach Randolph,12307692.00,USA,19.00,36.00,SAC,59.00,1508.00,17.30,0.53,0.19,0.14,7.00,23.80,15.00,14.90,1.40,0.60,12.50,27.60,0.30,1.10,1.40,0.05,-0.60,-1.30,-1.90,0.00
Zach LaVine,3202217.00,USA,13.00,22.00,CHI,24.00,656.00,14.60,0.50,0.35,0.30,1.40,14.40,7.70,18.60,1.80,0.50,9.70,29.50,-0.10,0.50,0.40,0.03,-0.70,-2.00,-2.60,-0.10
Zach Collins,3057240.00,USA,10.00,20.00,POR,62.00,979.00,8.20,0.49,0.39,0.15,4.90,18.30,11.70,7.30,0.80,2.50,15.60,15.50,-0.40,1.20,0.80,0.04,-3.70,0.90,-2.90,-0.20
Yogi Ferrell,1312611.00,USA,62.00,24.00,DAL,79.00,2238.00,11.50,0.54,0.49,0.14,1.30,11.30,6.10,13.30,1.40,0.30,9.10,17.00,1.60,1.60,3.10,0.07,-0.40,-0.50,-0.90,0.60
Xavier Silas,74159.00,USA,62.00,30.00,BOS,2.00,7.00,-4.90,0.00,0.67,0.00,15.90,15.40,15.70,0.00,7.20,0.00,0.00,19.20,-0.10,0.00,0.00,-0.25,-12.60,-0.70,-13.30,0.00
Xavier Rathan-Mayes,46080.00,Canada,62.00,23.00,MEM,5.00,118.00,0.90,0.32,0.33,0.21,0.00,5.00,2.50,23.20,2.60,2.40,19.30,21.70,-0.50,0.10,-0.40,-0.17,-8.70,-1.90,-10.60,-0.30
Wilson Chandler,12016854.00,USA,23.00,30.00,DEN,70.00,2200.00,11.10,0.54,0.39,0.19,5.00,14.00,9.50,9.70,0.90,1.40,12.00,14.60,2.00,1.00,3.10,0.07,-0.40,-0.60,-1.00,0.50
Willy Hernangomez,1435750.00,Spain,35.00,23.00,TOT,45.00,430.00,20.60,0.59,0.08,0.56,13.60,25.20,19.30,11.00,1.80,2.80,15.40,21.70,0.80,0.60,1.40,0.16,-0.10,0.60,0.50,0.30
